OBJECTID,Id,gridcode,ShapeLongi,ShapeLatit,Shape_Leng,Shape_Area,Longitude,Latitude
17020,776992,56774620,-155.8616061,56.44144545,14816,13719616,-155.8616061,56.44144545
17021,776993,89194888,-155.8014743,56.44236118,14816,13719616,-155.8014743,56.44236118
17022,776994,27276360,-155.7413397,56.44324685,14816,13719616,-155.7413397,56.44324685
17023,776995,71047160,-155.6812021,56.44410246,14816,13719616,-155.6812021,56.44410246
17024,776996,21381030,-155.6210618,56.44492801,14816,13719616,-155.6210618,56.44492801
17025,776997,57084740,-155.5609189,56.44572349,14816,13719616,-155.5609189,56.44572349
17026,776998,28650164,-155.5007734,56.44648891,14816,13719616,-155.5007734,56.44648891
17027,776999,23558518,-155.4406254,56.44722425,14816,13719616,-155.4406254,56.44722425
17028,777000,87411120,-155.380475,56.44792953,14816,13719616,-155.380475,56.44792953
17029,777001,14933729,-155.3203224,56.44860473,14816,13719616,-155.3203224,56.44860473
17030,777002,30163354,-155.2601676,56.44924986,14816,13719616,-155.2601676,56.44924986
17031,777003,58207500,-155.2000108,56.44986492,14816,13719616,-155.2000108,56.44986492
17035,777007,24856732,-154.9593647,56.45202436,14816,13719616,-154.9593647,56.45202436
17040,777013,18299710,-154.5983427,56.4543569,14768.22935,13716113.99,-154.5983503,56.45436105
17041,777014,34999980,-154.5381772,56.4546452,14816,13719616,-154.5381772,56.4546452
17042,777015,95792880,-154.4780033,56.45489926,14816,13719616,-154.4780033,56.45489926
17043,777016,53282880,-154.4178285,56.45512323,14816,13719616,-154.4178285,56.45512323
17044,777017,57661032,-154.3576531,56.45531711,14816,13719616,-154.3576531,56.45531711
17045,777018,5076206,-154.297477,56.4554809,14816,13719616,-154.297477,56.4554809
17046,777019,81337488,-154.2373005,56.45561461,14816,13719616,-154.2373005,56.4556146
17047,777020,99805944,-154.1771236,56.45571822,14816,13719616,-154.1771236,56.45571822
17048,777021,95846688,-154.1169464,56.45579174,14816,13719616,-154.1169464,56.45579174
17049,777022,9308252,-154.056769,56.45583517,14816,13719616,-154.056769,56.45583517
17050,777023,92928208,-153.9965916,56.45584851,14816,13719616,-153.9965916,56.45584851
17051,777024,66519228,-153.9364141,56.45583176,14816,13719616,-153.9364141,56.45583176
17052,777025,53127408,-153.8762367,56.45578492,14816,13719616,-153.8762367,56.45578492
17053,777026,18839860,-153.8160596,56.45570799,14816,13719616,-153.8160596,56.45570799
17054,777027,31968194,-153.7558827,56.45560097,14816,13719616,-153.7558827,56.45560097
17055,777028,80816632,-153.6957062,56.45546386,14816,13719616,-153.6957062,56.45546386
17056,777029,55379472,-153.6355303,56.45529666,14816,13719616,-153.6355303,56.45529666
17057,777030,80183312,-153.5753549,56.45509937,14816,13719616,-153.5753549,56.45509937
17058,777031,7116358,-153.5151802,56.45487199,14816,13719616,-153.5151802,56.45487199
17059,777032,41788136,-153.4550064,56.45461452,14816,13719616,-153.4550064,56.45461452
17060,777033,61949408,-153.3948334,56.45432696,14816,13719616,-153.3948334,56.45432696
17061,777034,9564936,-153.3346614,56.45400932,14816,13719616,-153.3346614,56.45400932
17062,777035,37872244,-153.2744905,56.45366159,14816,13719616,-153.2744905,56.45366159
17063,777036,83768592,-153.2143208,56.45328377,14816,13719616,-153.2143208,56.45328377
17064,777037,90702024,-153.1541524,56.45287587,14816,13719616,-153.1541524,56.45287587
17065,777038,44170956,-153.0939854,56.45243789,14816,13719616,-153.0939854,56.45243789
17066,777039,7573954,-153.0338199,56.45196982,14816,13719616,-153.0338199,56.45196982
17071,777044,77659424,-152.733018,56.44917829,14816,13719616,-152.733018,56.44917829
17072,777045,69313784,-152.6728634,56.44852976,14816,13719616,-152.6728634,56.44852976
17073,777046,57032968,-152.6127111,56.44785115,14816,13719616,-152.6127111,56.44785115
17074,777047,16187008,-152.552561,56.44714246,14816,13719616,-152.552561,56.44714246
17075,777048,90075024,-152.4924133,56.44640371,14816,13719616,-152.4924133,56.44640371
17076,777049,81869720,-152.4322681,56.44563489,14816,13719616,-152.4322681,56.44563489
17077,777050,58304088,-152.3721254,56.444836,14816,13719616,-152.3721254,56.444836
17078,777051,12247153,-152.3119854,56.44400705,14816,13719616,-152.3119854,56.44400705
17082,777055,67535488,-152.0714541,56.44039063,14816,13719616,-152.0714541,56.44039063
17083,777056,1837446,-152.012369,56.44004909,14166.10589,13122139.97,-152.011329,56.43941139
17086,777362,40678656,-134.2033458,54.76367069,14267.18335,13287470.31,-134.2043213,54.76337468
17087,777363,95238216,-134.1493481,54.75358639,14816,13719616,-134.1493481,54.75358639
17088,777364,64975540,-134.094403,54.74377162,14816,13719616,-134.094403,54.74377162
17089,777365,13614048,-134.0394859,54.7339304,14816,13719616,-134.0394859,54.7339304
17090,777366,43119992,-133.984597,54.72406275,14816,13719616,-133.984597,54.72406275
17091,777367,75475544,-133.9297362,54.71416868,14816,13719616,-133.9297362,54.71416868
17092,777368,12125918,-133.8749037,54.70424821,14816,13719616,-133.8749037,54.70424821
17093,777369,91661128,-133.8200995,54.69430137,14816,13719616,-133.8200995,54.69430137
17094,777370,47235308,-133.7653237,54.68432817,14816,13719616,-133.7653237,54.68432817
17095,777371,44798740,-133.7105762,54.67432863,14816,13719616,-133.7105762,54.67432863
17096,777372,62652684,-133.6558572,54.66430277,14816,13719616,-133.6558572,54.66430276
17097,777373,46954740,-133.6011667,54.6542506,14816,13719616,-133.6011667,54.6542506
17098,777374,58553040,-133.5465048,54.64417215,14816,13719616,-133.5465048,54.64417215
17099,777375,61439948,-133.4918714,54.63406744,14816,13719616,-133.4918714,54.63406744
17100,777376,73857720,-133.4372668,54.62393649,14816,13719616,-133.4372668,54.62393649
17101,777377,84104728,-133.3826908,54.61377931,14816,13719616,-133.3826908,54.61377931
17102,777378,93269176,-133.3281436,54.60359592,14816,13719616,-133.3281436,54.60359592
17103,777379,36006036,-133.2736252,54.59338635,14816,13719616,-133.2736252,54.59338635
17104,777380,28062310,-133.2191357,54.58315061,14816,13719616,-133.2191357,54.58315061
17105,777381,83138568,-133.1646751,54.57288871,14816,13719616,-133.1646751,54.57288871
17106,777382,65077192,-133.1102435,54.56260069,14816,13719616,-133.1102435,54.56260069
