,CRUISEJOIN,REGION,VESSEL,CRUISE,START_DATE,END_DATE,MIN_LATITUDE,MAX_LATITUDE,MIN_LONGITUDE,MAX_LONGITUDE,AGENCY_NAME,SURVEY_NAME,AUDITJOIN
152,1414142,BS,60,198502,9/16/1985 15:00,10/6/1985 18:00,60.98383,64.68217,-161.46417,-174.5755,USA,EBS TRIEN,1231
153,1414141,BS,78,199102,8/17/1991 13:00,8/30/1991 15:00,61.34517,64.50367,-163.14833,-171.7665,USA,EBS  TRIEN,1232
154,-611,BS,89,200501,6/3/2005 0:00,7/22/2005 0:00,54.99457,62.99125,-176.76041,-158.9787,USA,2005 Eastern Bering Sea Bottom Trawl Survey,-611
155,-612,BS,88,200501,6/3/2005 0:00,7/22/2005 0:00,54.67282,62.99346,-178.1562,-158.3165,USA,2005 Eastern Bering Sea Bottom Trawl Survey,-612
156,-615,BS,88,200601,6/2/2006 0:00,7/24/2006 0:00,54.66428,62.65316,-174.726,-158.32249,USA,2006 Eastern Bering Sea Bottom Trawl Survey,-615
157,-618,BS,134,200601,6/1/2006 0:00,7/25/2006 0:00,54.98404,63.0001,-178.17999,-158.96719,USA,2006 Eastern Bering Sea Bottom Trawl Survey,-618
158,-626,BS,89,200701,6/9/2007 0:00,7/30/2007 0:00,54.66053,62.00076,-175.1498,-158.97121,USA,2007 Eastern Bering Sea Bottom Trawl Survey,-626
159,-627,BS,88,200701,6/8/2007 0:00,7/28/2007 0:00,54.83508,61.99196,-178.1602,-158.3231,USA,2007 Eastern Bering Sea Bottom Trawl Survey,-627
160,-629,BS,94,200801,6/6/2008 0:00,8/6/2008 0:00,54.26328,60.60577,-179.491,-165.41341,USA,2008 Eastern Bering Sea Slope Survey,-629
161,-630,BS,88,200801,6/4/2008 0:00,7/25/2008 0:00,54.99107,61.67654,-175.6685,-159.0096,USA,2008 Eastern Bering Sea Bottom Trawl Survey,-630
162,-631,BS,89,200801,6/3/2008 0:00,7/24/2008 0:00,54.68328,62.01044,-178.19679,-158.3297,USA,2008 Eastern Bering Sea Bottom Trawl Survey,-631
