"","gridcode","Area_KM2","lon_centro","lat_centro","Shape_Leng","Shape_Area","lon","lat"
"1",17750796,1.56580474234,-439636.465333,2618729.06293,0.169000611676,0.000435301933011,-167.184532,73.2255180863
"2",646054,6.998704296,-436614.673451,2619347.15674,0.251022362739,0.00194703302307,-167.099854279,73.2367172385
"3",66487056,8.48637707132,-433257.97168,2619507.31751,0.270644575517,0.00236222814011,-167.002645597,73.2443012801
"4",22697300,5.7426252992,-429601.693038,2619141.71641,0.254808569738,0.00159876756821,-166.89355849,73.2475641817
"5",61787016,2.9987020992,-426032.648303,2618784.81194,0.238811329293,0.000834983326463,-166.787042391,73.2506955532
"6",90660688,0.482208221379,-423166.232233,2618498.17033,0.135979215994,0.000134287464321,-166.70147735,73.2531768023
"7",36490808,0.10282034824,-450062.539333,2614744.45687,0.0431581703666,2.84961652547e-05,-167.464896321,73.169702067
"8",14295518,3.8806096832,-447527.778747,2615262.93065,0.231920814214,0.00107594710309,-167.394179548,73.1791834991
"9",72459400,9.4931799492,-444087.716596,2615966.57974,0.265140149576,0.00263421626366,-167.298125914,73.192023704
"10",6413755,13.539945292,-440545.777014,2616476.89587,0.291147774234,0.00376019645305,-167.197852928,73.2032432257
"11",95964832,13.719616,-436862.2069,2616499.7754,0.297075248577,0.00381137342601,-167.090482206,73.2102098573
"12",94367312,13.719616,-433158.2069,2616499.7754,0.297049263696,0.0038128570257,-166.982310523,73.2169513453
"13",13678563,13.719616,-429454.2069,2616499.7754,0.297022926298,0.00381432974294,-166.874069018,73.2236380227
"14",23533464,13.719616,-425750.2069,2616499.7754,0.296996241919,0.00381579150163,-166.765758199,73.2302698268
"15",44891916,13.4921866778,-422068.951338,2616470.25211,0.295342749055,0.00375432204608,-166.65787875,73.2365374552
"16",24748140,11.2304716992,-418417.622933,2616171.3094,0.286432267919,0.00312533551822,-166.549299328,73.240222861
"17",32079682,8.4865484992,-414738.00691,2615803.3478,0.270474813698,0.00236212340499,-166.439467972,73.2432709496
"18",83596160,5.7426252992,-411081.693038,2615437.71641,0.254582357895,0.00159864426652,-166.330301492,73.246243952
"19",19161068,2.9987020992,-407512.648303,2615080.81194,0.238754394459,0.000834905138154,-166.223711893,73.2490924151
"20",84503184,0.482208221379,-404646.232233,2614794.17033,0.136003849214,0.000134273101179,-166.138089608,73.2513463987
"21",58064408,1.13462574693,-458019.2801,2611264.9417,0.142934586472,0.000313580672345,-167.675177789,73.1228697683
"22",91393776,6.375084966,-455110.459416,2611859.92774,0.246053921876,0.0017630485224,-167.59432019,73.1338273605
"23",93940352,11.8848348169,-451546.417951,2612572.91385,0.277539810761,0.00328971040567,-167.495052752,73.1470739195
"24",68235680,13.719616,-447974.2069,2612795.7754,0.296721538177,0.00379944560439,-167.392507945,73.1558075525
"25",20841006,13.719616,-444270.2069,2612795.7754,0.29669684892,0.0038009523596,-167.284716705,73.1626996343
