"","X","Y","area_km2"
"1",-716799.442037387,1793775.9708263,123.476544
"2",-694575.442037387,1793775.9708263,409.94212608
"3",-672351.442037387,1793775.9708263,409.94212608
"4",-650127.442037387,1793775.9708263,296.3437056
"5",-627903.442037387,1793775.9708263,59.26874112
"6",-761247.442037387,1771551.9708263,49.3906176
"7",-739023.442037387,1771551.9708263,321.0390144
"8",-716799.442037387,1771551.9708263,493.906176
"9",-694575.442037387,1771551.9708263,493.906176
"10",-672351.442037387,1771551.9708263,493.906176
"11",-650127.442037387,1771551.9708263,493.906176
"12",-627903.442037387,1771551.9708263,464.27180544
"13",-605679.442037387,1771551.9708263,39.51249408
"14",-805695.442037387,1749327.9708263,9.87812352
"15",-783471.442037387,1749327.9708263,227.19684096
"16",-761247.442037387,1749327.9708263,469.2108672
"17",-739023.442037387,1749327.9708263,493.906176
"18",-716799.442037387,1749327.9708263,493.906176
"19",-694575.442037387,1749327.9708263,493.906176
"20",-672351.442037387,1749327.9708263,493.906176
"21",-650127.442037387,1749327.9708263,493.906176
"22",-627903.442037387,1749327.9708263,474.14992896
"23",-605679.442037387,1749327.9708263,4.93906176
"24",-827919.442037387,1727103.9708263,133.35466752
"25",-805695.442037387,1727103.9708263,419.8202496
"26",-783471.442037387,1727103.9708263,493.906176
"27",-761247.442037387,1727103.9708263,493.906176
"28",-739023.442037387,1727103.9708263,493.906176
"29",-716799.442037387,1727103.9708263,493.906176
"30",-694575.442037387,1727103.9708263,493.906176
"31",-672351.442037387,1727103.9708263,493.906176
"32",-650127.442037387,1727103.9708263,488.96711424
"33",-627903.442037387,1727103.9708263,395.1249408
"34",-872367.442037387,1704879.9708263,54.32967936
"35",-850143.442037387,1704879.9708263,330.91713792
"36",-827919.442037387,1704879.9708263,493.906176
"37",-805695.442037387,1704879.9708263,493.906176
"38",-783471.442037387,1704879.9708263,493.906176
"39",-761247.442037387,1704879.9708263,493.906176
"40",-739023.442037387,1704879.9708263,493.906176
"41",-716799.442037387,1704879.9708263,493.906176
"42",-694575.442037387,1704879.9708263,493.906176
"43",-672351.442037387,1704879.9708263,493.906176
"44",-650127.442037387,1704879.9708263,493.906176
"45",-627903.442037387,1704879.9708263,484.02805248
"46",-605679.442037387,1704879.9708263,400.06400256
"47",-583455.442037387,1704879.9708263,83.96404992
"48",-916815.442037387,1682655.9708263,14.81718528
"49",-894591.442037387,1682655.9708263,242.01402624
"50",-872367.442037387,1682655.9708263,474.14992896
"51",-850143.442037387,1682655.9708263,493.906176
"52",-827919.442037387,1682655.9708263,493.906176
"53",-805695.442037387,1682655.9708263,493.906176
"54",-783471.442037387,1682655.9708263,493.906176
"55",-761247.442037387,1682655.9708263,493.906176
"56",-739023.442037387,1682655.9708263,493.906176
"57",-716799.442037387,1682655.9708263,493.906176
"58",-694575.442037387,1682655.9708263,493.906176
"59",-672351.442037387,1682655.9708263,493.906176
"60",-650127.442037387,1682655.9708263,493.906176
"61",-627903.442037387,1682655.9708263,493.906176
"62",-605679.442037387,1682655.9708263,493.906176
"63",-583455.442037387,1682655.9708263,49.3906176
"64",-939039.442037387,1660431.9708263,153.11091456
"65",-916815.442037387,1660431.9708263,429.69837312
"66",-894591.442037387,1660431.9708263,493.906176
"67",-872367.442037387,1660431.9708263,488.96711424
"68",-850143.442037387,1660431.9708263,488.96711424
"69",-827919.442037387,1660431.9708263,493.906176
"70",-805695.442037387,1660431.9708263,493.906176
"71",-783471.442037387,1660431.9708263,493.906176
"72",-761247.442037387,1660431.9708263,493.906176
"73",-739023.442037387,1660431.9708263,493.906176
"74",-716799.442037387,1660431.9708263,493.906176
"75",-694575.442037387,1660431.9708263,493.906176
"76",-672351.442037387,1660431.9708263,493.906176
"77",-650127.442037387,1660431.9708263,493.906176
"78",-627903.442037387,1660431.9708263,493.906176
"79",-605679.442037387,1660431.9708263,493.906176
"80",-583455.442037387,1660431.9708263,439.57649664
"81",-561231.442037387,1660431.9708263,335.85619968
"82",-539007.442037387,1660431.9708263,148.1718528
"83",-516783.442037387,1660431.9708263,49.3906176
"84",-494559.442037387,1660431.9708263,98.7812352
"85",-472335.442037387,1660431.9708263,24.6953088
"86",-983487.442037387,1638207.9708263,74.0859264
"87",-961263.442037387,1638207.9708263,360.55150848
"88",-939039.442037387,1638207.9708263,493.906176
"89",-916815.442037387,1638207.9708263,493.906176
"90",-894591.442037387,1638207.9708263,493.906176
"91",-872367.442037387,1638207.9708263,345.7343232
"92",-850143.442037387,1638207.9708263,395.1249408
"93",-827919.442037387,1638207.9708263,493.906176
"94",-805695.442037387,1638207.9708263,493.906176
"95",-783471.442037387,1638207.9708263,493.906176
"96",-761247.442037387,1638207.9708263,493.906176
"97",-739023.442037387,1638207.9708263,493.906176
"98",-716799.442037387,1638207.9708263,493.906176
"99",-694575.442037387,1638207.9708263,493.906176
"100",-672351.442037387,1638207.9708263,493.906176
"101",-650127.442037387,1638207.9708263,493.906176
"102",-627903.442037387,1638207.9708263,493.906176
"103",-605679.442037387,1638207.9708263,493.906176
"104",-583455.442037387,1638207.9708263,493.906176
"105",-561231.442037387,1638207.9708263,493.906176
"106",-539007.442037387,1638207.9708263,493.906176
"107",-516783.442037387,1638207.9708263,493.906176
"108",-494559.442037387,1638207.9708263,493.906176
"109",-472335.442037387,1638207.9708263,493.906176
"110",-450111.442037387,1638207.9708263,360.55150848
"111",-427887.442037387,1638207.9708263,49.3906176
"112",-405663.442037387,1638207.9708263,222.2577792
"113",-383439.442037387,1638207.9708263,256.83121152
"114",-361215.442037387,1638207.9708263,83.96404992
