OBJECTID,Id,gridcode,ShapeLongitude,ShapeLatitude,Shape_Length,Shape_Area,Longitude,Latitude
933,760350,79076376,174.6700736,52.40445062,12802.45402,6965878.077,174.6681987,52.39675474
934,760351,99243760,174.7165253,52.41200372,14644.6963,13674808.72,174.7164893,52.41193394
935,760352,70158992,174.7588478,52.42460067,12735.30622,10031446.04,174.7648157,52.42709101
936,760355,42061848,174.9156153,52.47667847,13630.70967,9105063.403,174.9100096,52.4724293
937,760356,66771496,174.9582711,52.48718416,14541.90153,13496576.67,174.9584791,52.48749769
938,760357,19069714,174.9983063,52.48989395,8320.101058,2695199.228,175.0069843,52.50254384
939,761674,68097504,173.7933194,52.09662963,503.5200654,10187.50248,173.7825834,52.07459357
940,761675,53381532,173.8222893,52.10280004,8397.421091,2508314.703,173.8301673,52.09017872
941,761676,22336254,173.8463817,52.1116297,2783.303187,308566.1784,173.8777872,52.10574216
942,761685,95379088,174.3156453,52.24546548,13709.84351,9639673.337,174.3079804,52.2448328
943,761686,71661600,174.3552116,52.26050668,14597.65043,13295714.26,174.3559589,52.260178
944,761687,85868592,174.4031024,52.27703543,14659.64758,12364425.42,174.4039732,52.27550125
945,761688,23799444,174.447733,52.29362676,13407.93843,10516141.82,174.4520232,52.29080254
946,761689,51757204,174.4855871,52.31266705,10368.65564,4372606.993,174.5001091,52.30608184
947,761690,84364960,174.5146066,52.3288033,1312.679209,52838.38334,174.5482307,52.32133914
948,761694,5851802,174.7437586,52.39154194,10923.69933,5309137.811,174.7410749,52.38214784
949,761695,23297774,174.7736658,52.40054628,9427.12275,4892646.801,174.7893752,52.39729479
950,761698,81628264,174.9441906,52.45655921,6096.500842,1892187.889,174.9344905,52.44260273
951,761699,5734997,174.9835347,52.45827119,14691.75449,13196113.93,174.9829337,52.457661
952,761700,2863174,175.0192894,52.46894013,14582.01233,9638834.739,175.0314125,52.47269706
953,761701,89907600,175.0731796,52.47559111,7069.274767,2722180.308,175.0799269,52.48771087
954,763028,7643972,174.3247551,52.2307022,5363.058628,288569.754,174.3327615,52.21513062
955,763029,94711800,174.349876,52.23914495,1867.823366,43367.57745,174.3807146,52.23046565
956,763042,4101954,175.0207672,52.43198525,13416.53502,7601015.215,175.0073526,52.42781703
957,763043,60203856,175.055805,52.442843,14816,13719616,175.055805,52.442843
958,763044,95606872,175.0872678,52.45455392,10658.75832,4618082.111,175.104293,52.45784674
959,764385,50795220,175.0407175,52.4186028,1947.732072,105291.2584,175.0317359,52.39796577
960,764386,11683001,175.0815766,52.41901107,12083.16268,7952368.773,175.0801619,52.41298167
961,764387,8162583,175.1030768,52.43089974,10253.74335,2811666.863,175.1286235,52.42797534
962,764388,81494232,175.1554726,52.43255088,486.9937115,5276.620086,175.1771205,52.44294676
963,764393,20599906,175.4174943,52.50319016,6025.314845,1384414.984,175.4201376,52.51746933
964,765736,37701844,175.4524997,52.4926492,11605.80084,5716821.768,175.4442724,52.48753053
965,765737,21381678,175.4877071,52.49046842,9237.757783,3533133.743,175.4929552,52.50235798
966,767079,15452508,175.482902,52.466988,7748.514224,2816615.687,175.4683718,52.45758458
967,767080,97219440,175.5169405,52.47223213,14014.26945,13167044.69,175.5170277,52.47240204
968,767081,75194088,175.558477,52.47674832,9802.126254,4159576.098,175.5657188,52.48719712
969,768414,57443112,175.1214503,52.29738804,6152.734846,1297706.388,175.1046731,52.30836836
970,768415,49999664,175.1790285,52.32105888,11409.30678,2100295.294,175.15302,52.32335414
971,768416,76062288,175.2073667,52.33100432,11742.90878,6981891.831,175.2014022,52.33831771
972,768417,15931427,175.252273,52.34515972,10874.34738,6786913.264,175.2498197,52.35325905
973,768418,81127536,175.2874476,52.3490196,2655.444555,307154.2812,175.2982725,52.36817813
974,768423,46383864,175.5415582,52.45528847,7970.552818,3088105.732,175.541065,52.44243897
975,768424,75044568,175.5913789,52.45985715,13233.31649,10593556.23,175.5897291,52.45722408
976,768425,16972242,175.6378186,52.46347775,11781.52915,6416446.138,175.6384284,52.47198678
977,768426,1118966,175.6754783,52.46685049,1923.399423,167951.0592,175.6871628,52.48672706
978,769755,75303408,175.0520771,52.24491053,7787.478249,3238005.673,175.0323793,52.24846994
979,769756,68855328,175.0848096,52.25999202,13160.22551,10133985.44,175.0806294,52.26349006
980,769757,16751380,175.1297827,52.27826964,14570.48975,13326186.61,175.1289148,52.27848802
981,769758,56197948,175.1772406,52.29345788,14911.8247,13714034.52,175.1772353,52.2934638
982,769759,65972280,175.2255912,52.30841737,14816,13719616,175.2255912,52.30841737
983,769760,30284526,175.2739822,52.32334871,14816,13719616,175.2739822,52.32334871
984,769761,99373352,175.3194399,52.33224095,13199.10579,8267877.586,175.3224084,52.3382578
985,769762,25885826,175.3602098,52.33317705,2145.786043,187937.8771,175.3708698,52.35314462
986,769767,75748008,175.621953,52.44000776,6402.488226,2508419.813,175.6137042,52.42724394
