"X","Y","area_km2"
581.438512822443,7249.57290877642,96.3146010936708
595.594789940238,7257.0985840264,265.220736822844
612.90153171956,7260.44545943005,221.92360194534
631.030781294145,7263.07543593357,143.204493748603
643.957237653723,7264.40718403129,23.9927384502428
552.568493862332,7221.60193300333,43.1013576429882
565.586529089087,7229.52441802632,234.885028156159
581.549169968254,7236.32850749218,342.90410444546
599.441551836502,7241.04723727611,342.9904
617.334680908149,7245.77037842974,342.9904
635.225895546301,7250.4996628289,342.9904
652.631191782337,7254.22930590939,304.979029255671
667.615920465209,7253.65761759063,77.702348466716
523.671250616489,7193.6592034589,10.9980087655993
535.394508393772,7200.7790825139,169.208073390215
550.787745703193,7208.78067938106,330.440393130199
568.355248753,7213.70984069855,342.9904
586.258047641622,7218.42050836619,342.9904
604.158825387052,7223.13704419325,342.9904
622.057711685085,7227.85953593865,342.9904
639.954837947081,7232.58807083086,342.9904
657.850337296416,7237.3227356246,342.9904
670.82887298322,7241.37369006805,158.413851345154
494.748773972313,7165.74255429633,0.0045544615034461
505.764655391168,7172.42017459295,103.531118624269
520.362483485189,7180.89069611319,296.866787241644
537.241168415724,7186.40248897053,342.9904
555.153328702384,7191.10145368885,342.9904
573.063368954179,7195.80600112347,342.9904
590.971414581313,7200.51622180131,342.9904
608.877592631459,7205.23220559386,342.9904
626.782031791819,7209.95404177053,342.9904
644.771073995329,7214.76736235754,338.329763453128
662.586216383627,7219.41562566446,342.9904
673.919739068499,7223.41060280049,97.6110077087631
476.825450418219,7144.51981926123,47.9751585890274
490.028564344766,7152.51398960628,242.183286779796
506.101162816268,7159.12291411709,342.9904
524.022374006551,7163.81097716019,342.9904
541.941373051129,7168.5043271133,342.9904
559.85828142421,7173.20305744077,342.9904
577.77322215283,7177.90726083946,342.9904
595.686319823874,7182.61702928855,342.9904
613.597700588658,7187.33245409971,342.9904
631.507492165044,7192.05362596762,342.9904
649.415823837053,7196.78063502075,342.9904
667.322826451955,7201.51357087217,342.9904
676.872608089632,7206.40684433732,37.6548942892489
447.863609059764,7116.64132712753,13.529039768878
459.736766458007,7123.81844692494,176.510886475352
475.21478446846,7131.68695302309,332.8694052693
492.866990678711,7136.54677126723,342.9904
510.794643934499,7141.2297442385,342.9904
528.720116614049,7145.91779454863,342.9904
546.643528063272,7150.61101786919,342.9904
564.564999102623,7155.30950905081,342.9904
582.484652036196,7160.01336216992,342.9904
600.402610658538,7164.72267057599,342.9904
618.319000259167,7169.43752693914,342.9904
636.233947624747,7174.15802329812,342.9904
654.147581038886,7178.88425110832,342.9904
672.060030279548,7183.61630129008,342.9904
689.829844928486,7187.69454858105,319.641412830947
707.157338092456,7190.60923192393,227.381566914984
418.758760670366,7088.81774450406,0.370980789042652
429.840234907003,7095.46249143512,113.30934380682
444.686811977025,7103.91252079199,302.145459109993
461.688939944502,7109.30646319595,342.9904
479.62494400603,7113.97990805675,342.9904
497.55868279422,7118.65811714134,342.9904
515.490272307168,7123.34118921499,342.9904
533.419829928048,7128.02922213058,342.9904
551.347474438099,7132.72231287187,342.9904
569.273326027537,7137.42055759733,342.9904
587.197506304372,7142.12405168454,342.9904
605.120138301055,7146.83288977504,342.9904
