OBJECTID,Id,gridcode,ShapeLon,ShapeLat,MeanSediment,ARDEMdepth,Depth,Shape_Length,Shape_Area,Lon,Lat
1714,745881,59091096,-169.2754079,56.2390023,225.8821411,217.7999878,,10524.59459,4455550.659,-169.2705372,56.24961408
1715,745882,25057840,-169.2333441,56.23778352,207.997818,225.3999329,,666.241465,17439.21784,-169.2122595,56.2571704
1716,747204,52674568,-170.3892291,56.06458473,671.5516968,639.7122803,,7923.916271,691695.9873,-170.4163879,56.0603243
1717,747205,47621816,-170.3586789,56.06841341,353.033844,561.6327515,,14716.56185,13700938.07,-170.3586498,56.06843958
1718,747216,67811384,-169.7093032,56.16022673,282.2187195,243.0901947,,8323.884668,2291421.708,-169.7218801,56.15584913
1719,747217,17735848,-169.6638437,56.16362605,335.2535095,334.900238,,11067.22352,6738381.978,-169.6638437,56.16362605
1720,747218,96825712,-169.6057829,56.17137466,400.8421326,394.9998474,,14816,13719616,-169.6057829,56.17137466
1721,747219,72772256,-169.5476979,56.17909495,451.7012024,448.2001648,,14816,13719616,-169.5476979,56.17909495
1722,747220,41131476,-169.4895885,56.1867869,491.1442261,483.5999756,,14816,13719616,-169.4895885,56.1867869
1723,747221,85495872,-169.431455,56.19445049,543.6773682,556.6001587,,14816,13719616,-169.431455,56.19445049
1724,747222,1301199,-169.3732975,56.2020857,527.2385254,535.500061,,14816,13719616,-169.3732975,56.2020857
1725,747223,61405604,-169.3151159,56.20969253,483.1005249,494.6001282,,14816,13719616,-169.3151159,56.20969253
1726,747224,63530988,-169.2569103,56.21727094,336.8981323,381.0000916,,14816,13719616,-169.2569103,56.21727094
1727,747206,71000512,-170.3201789,56.06739552,268.6444397,302.2925415,,14816,13719616,-170.3008865,56.07652675
1728,747225,38644120,-169.2019667,56.22016656,243.1233521,257.7000427,,13148.17491,9487360.001,-169.1986809,56.22482093
1729,747226,95962568,-169.1564412,56.21720651,218.5502014,214.800293,,4721.186634,980137.3692,-169.1404277,56.23234248
1730,748559,31859362,-169.6891202,56.14017558,241.6080017,277.1001587,,2566.51225,73381.03445,-169.7078934,56.1235544
1731,748560,96429048,-169.6457998,56.13515459,333.085907,363.5,,14857.59732,13408676.86,-169.6499048,56.13132484
1732,748547,4182604,-170.3674452,56.01801661,1168.780396,1233.000122,,13678.93949,10120964.56,-170.4018332,56.02810886
1733,748548,97220672,-170.3434829,56.03626671,1007.102295,842.197998,,9855.970376,4711188.368,-170.3441421,56.03621743
1734,748549,41991116,-170.2900187,56.0405101,403.8993225,333.3005981,,3302.744627,496771.5134,-170.2864259,56.04429791
1735,748550,25623926,-170.2267081,56.04154867,147.844162,141.5746918,,3071.458488,414189.1405,-170.2286845,56.05235028
1736,748551,94772400,-170.1872544,56.04348211,140.3093567,142.4901276,,13209.88208,9988434.493,-170.170918,56.06037455
1737,748561,87966880,-169.5918918,56.13906699,492.0704956,388.0001221,,14816,13719616,-169.5918918,56.13906699
1738,748562,75686480,-169.5338546,56.14678085,539.9962769,558.8966064,,14816,13719616,-169.5338546,56.14678085
1739,748563,84586712,-169.4757932,56.15446638,559.5274048,598.4013062,,14816,13719616,-169.4757932,56.15446638
1740,748564,66059136,-169.4177077,56.16212357,603.0031128,617.2001343,,14816,13719616,-169.4177077,56.16212357
1741,748565,51678092,-169.3595982,56.16975241,634.2721558,635.7999878,,14816,13719616,-169.3595982,56.16975241
1742,748566,12809479,-169.3014647,56.17735288,652.9732056,662.3999634,,14816,13719616,-169.3014647,56.17735288
1743,748567,43333728,-169.2433073,56.18492496,656.473999,645.7000732,,14816,13719616,-169.2433073,56.18492496
1744,748568,82101328,-169.1851261,56.19246864,497.3722534,515.0002441,,14816,13719616,-169.1851261,56.19246864
1745,748569,35314264,-169.1293792,56.19766186,230.5554047,238.3000946,,13581.4448,11605462.93,-169.1269212,56.1999839
1746,748570,20003386,-169.0837378,56.19338285,224.9888458,227.000061,,6027.832039,1408508.292,-169.0686926,56.20747072
1747,749903,23632988,-169.6177328,56.11577042,180.2993317,191.4001007,,8894.837492,2494446.047,-169.6359902,56.0990207
1748,749890,5847764,-170.3629033,55.99499863,1060.46936,1240.101685,,14816,13719616,-170.3873039,55.99589033
1749,749891,49302448,-170.3296597,56.00399219,511.4873352,495.7641296,,14816,13719616,-170.3296597,56.00399219
1750,749892,38328708,-170.2719904,56.01206598,450.6905518,583.6087036,,14816,13719616,-170.2719904,56.01206598
1751,749893,15501039,-170.214296,56.0201117,207.9823761,201.3104248,,12583.64496,8723427.085,-170.214296,56.0201117
1752,749894,4919508,-170.1649056,56.02450916,161.3562469,144.4601746,,5169.503808,757375.2419,-170.1565767,56.02812931
1753,749896,91235616,-170.0178469,56.0321959,140.0931244,130.799881,,9374.020592,4064676.648,-170.0410633,56.04408019
1754,749897,94725832,-169.9757717,56.041149,129.6143799,152.4472504,,9242.291672,3650803.675,-169.9832695,56.05201341
1755,749898,46343788,-169.9237829,56.04780151,128.4371185,135.6724548,,4591.389097,566853.2645,-169.9254509,56.05991847
1756,749899,86663392,-169.8792732,56.05078025,126.9767685,119.6731491,,3213.878597,423525.6432,-169.8676077,56.06779535
1757,749904,39239400,-169.5739718,56.11125611,199.2827759,198.8999939,,13058.98818,9444575.865,-169.5780249,56.10675641
1758,749905,46215976,-169.5200355,56.11446384,255.8520508,213.2000732,,14816,13719616,-169.5200355,56.11446384
1759,749906,46689264,-169.462022,56.12214296,392.9253845,344.5000305,,14816,13719616,-169.462022,56.12214296
1760,749907,71616968,-169.4039844,56.12979377,670.1714478,660.3000488,,14816,13719616,-169.4039844,56.12979377
1761,749908,62846724,-169.3459228,56.13741625,783.81073,765.2000732,,14816,13719616,-169.3459228,56.13741625
1762,749909,2616375,-169.2878374,56.14501038,875.2977295,873.3765869,,14816,13719616,-169.2878374,56.14501038
1763,749910,38810460,-169.2297281,56.15257614,760.934021,779.4001465,,14816,13719616,-169.2297281,56.15257614
1764,749911,9954893,-169.1715951,56.16011352,1002.01294,995.3001099,,14816,13719616,-169.1715951,56.16011352
1765,749912,96795360,-169.1134384,56.16762249,646.2388306,584.000061,,14816,13719616,-169.1134384,56.16762249
1766,749913,23692494,-169.0562431,56.17394693,276.9775391,265.6997986,,14115.28064,12783666.61,-169.0552581,56.17510306
1767,749914,41303064,-168.9960282,56.17624075,233.7348785,208.1002045,,12299.84594,8456302.077,-168.9970543,56.18255519
1768,749915,72476880,-168.936859,56.1812072,218.7534637,234.100174,,10904.72287,6399813.277,-168.938827,56.18997887
1769,749916,3612662,-168.892673,56.18358696,214.5169067,215.6000061,,6497.192095,1818542.855,-168.8805764,56.19737408
1770,749920,46045632,-168.6319337,56.21470528,205.4934082,203.8002014,,7519.744238,1839420.234,-168.6473416,56.22666998
1771,749921,75670848,-168.6040323,56.21790427,204.6333466,202.4001007,,4010.400092,767007.6346,-168.5889753,56.23392263
1772,751233,95716824,-170.3574744,55.96401776,857.286438,850.5003052,,11140.4859,6562051.406,-170.3727997,55.9636687
1773,751234,48584908,-170.3166319,55.97225677,822.4683838,770.9998779,,14147.20198,13061283.96,-170.3152024,55.97176386
1774,751235,24698848,-170.2608863,55.98723224,1097.521484,890.934082,,15055.7278,9562201.551,-170.25758,55.97983098
1775,751236,19062206,-170.1999326,55.98787005,687.6603394,892.1433105,,14816,13719616,-170.1999326,55.98787005
1776,751237,86120440,-170.1424101,55.99575024,243.0648804,296,,14570.66302,13621396.54,-170.1422602,55.99588103
1777,751238,9538881,-170.080997,55.99579388,188.3021545,194.720459,,14244.89595,8134305.412,-170.0845631,56.00386392
1778,751239,1380116,-170.0256482,56.01134838,142.1108856,140.0817413,,14193.23453,13149790.57,-170.0268411,56.0118187
1779,751240,48720564,-169.9690945,56.01974535,142.0384064,242.1818237,,14816,13719616,-169.9690945,56.01974535
1780,751241,54691964,-169.9113232,56.02764386,140.4277649,152.9998322,,14816,13719616,-169.9113232,56.02764386
1781,751242,73034968,-169.85405,56.03485875,136.3699951,126.4692078,,14326.08788,13214479.94,-169.8535274,56.0355142
1782,751243,77541152,-169.7957586,56.03804841,143.3501587,138.9999847,,12687.90172,9297801.549,-169.795707,56.04335637
1783,751244,93400720,-169.7384511,56.04054009,157.1179352,161.5001068,,10289.49743,4832882.82,-169.7378623,56.05117034
1784,751245,62918228,-169.6904883,56.0425224,153.7278442,185.2056274,,5572.428332,792931.1272,-169.6799932,56.05895609
1785,751247,80475840,-169.5325635,56.06283693,220.8502197,214.5036316,,3157.649019,191258.4983,-169.5641822,56.0744429
1786,751248,89396968,-169.5035078,56.0823987,216.8555908,218.8000336,,15219.38776,12382295.55,-169.5062405,56.08214392
1787,751249,18848676,-169.4482748,56.08981665,237.5973358,239.2001495,,14816,13719616,-169.4482748,56.08981665
1788,751250,21407006,-169.390285,56.09746109,273.2137756,268.0002747,,14816,13719616,-169.390285,56.09746109
1789,751251,37015908,-169.3322714,56.10507722,736.3467407,781.9998779,,14816,13719616,-169.3322714,56.10507722
1790,751252,1475088,-169.2742339,56.11266502,942.8105469,981.3001099,,14816,13719616,-169.2742339,56.11266502
1791,751253,31283808,-169.2161726,56.12022447,1035.858398,1067.803711,,14816,13719616,-169.2161726,56.12022447
1792,751254,65413360,-169.1580877,56.12775556,1081.818604,1114.800049,,14816,13719616,-169.1580877,56.12775556
1793,751255,58468840,-169.0999792,56.13525827,1049.752686,1077.900024,,14816,13719616,-169.0999792,56.13525827
1794,751256,20595948,-169.0418471,56.14273259,670.6654663,716.8001099,,14816,13719616,-169.0418471,56.14273259
1795,751257,29203000,-168.9836915,56.15017849,386.924408,389.0999146,,14816,13719616,-168.9836915,56.15017849
1796,751258,64674228,-168.9255126,56.15759597,302.3301086,296.1999207,,14816,13719616,-168.9255126,56.15759597
1797,751259,23536380,-168.8680315,56.16425286,265.5159607,258.1001892,,14212.23502,13136866.67,-168.8673104,56.164985
1798,751260,28810734,-168.8089043,56.16571867,279.5029602,278.1000366,,12217.93519,8194187.199,-168.8090849,56.17234557
