"X","Y","area_km2"
218.631788045121,6886.47390091914,38.775095840364
231.536140299584,6893.60758554666,209.494924139042
247.774826805088,6897.10790725362,189.060085299087
265.27676530978,6898.78176948975,79.9267762081764
278.224007668044,6900.0217378715,2.94656038612497
188.194112629346,6858.97042682779,23.2737336808176
200.837348500247,6866.05234531237,182.72612062851
216.660343020021,6873.83363575725,330.427651162059
234.318544046635,6878.69580828065,342.9904
252.308557998441,6883.3306986411,342.9904
270.295951202463,6887.96749694957,342.9904
288.029574062332,6891.71545204995,310.837306731141
306.376178355813,6893.56412450373,204.650558026352
324.151570353171,6895.27391499459,95.5172489354444
337.638738626694,6896.57308551931,7.6830401041739
157.402713987385,6831.70675118517,16.7912738609118
169.720070216066,6838.51772841095,166.571187371953
185.549333689161,6846.5309485586,321.653963443842
203.016193912461,6851.55242507829,342.9904
221.011691690478,6856.1863548875,342.9904
239.004494745908,6860.82180109483,342.9904
256.994702937598,6865.45889112712,342.9904
274.982416686816,6870.09775113384,342.9904
292.967737002892,6874.73850600256,342.9904
310.950765508256,6879.38127937511,342.9904
328.931604462811,6884.02619366462,342.9904
346.697781803713,6888.07063845573,321.691299740359
362.79948840537,6889.94438692446,171.605543479514
127.268512408665,6804.32461768235,6.24114882872391
138.891807797582,6811.07919355817,145.99198127098
154.383642876497,6819.2518655435,314.413803758332
171.706462790888,6824.40702629397,342.9904
189.707234736042,6829.04104907801,342.9904
207.705237122189,6833.67618945715,342.9904
225.70056907955,6838.31257792938,342.9904
243.693330223222,6842.95034370396,342.9904
261.683620678945,6847.58961471468,342.9904
279.671541108322,6852.23051763382,342.9904
297.65719273353,6856.87317788684,342.9904
315.640677361427,6861.51771966787,342.9904
333.62209740704,6866.16426595596,342.9904
351.601555916383,6870.81293853194,342.9904
365.788054772485,6874.98012163458,201.352008622683
96.441238947735,6777.04565119134,3.22861156472468
107.850286056492,6783.52446757752,128.313578222309
123.367590661538,6791.75564122984,296.966636431911
140.390511737544,6797.25683267491,342.9904
158.396359987089,6801.89201613417,342.9904
176.399362630253,6806.52791144176,342.9904
194.399618250742,6811.16465211388,342.9904
212.397225842805,6815.80237037121,342.9904
230.392284836873,6820.44119715006,342.9904
248.384895124811,6825.08126211425,342.9904
266.375157084713,6829.72269366774,342.9904
284.363171605227,6834.36561896791,342.9904
302.349040109353,6839.01016393972,342.9904
320.332864577683,6843.65645329033,342.9904
338.314747571039,6848.30461052469,342.9904
356.29479225248,6852.95475796159,342.9904
368.794634563699,6856.91273149232,138.353771887997
78.5847050483224,6757.00261828801,88.4848197080345
92.2841825711713,6764.31632010178,282.500580309985
109.06945138158,6770.09904682327,342.9904
127.080190147392,6774.73647177874,342.9904
145.088005740449,6779.3741961995,342.9904
163.092996366229,6784.01235656164,342.9904
181.095260569786,6788.65108804283,342.9904
199.094897261123,6793.29052453164,342.9904
217.092005740254,6797.93079863747,342.9904
235.086685721927,6802.57204170123,342.9904
253.07903735995,6807.2143838067,342.9904
271.069161271105,6811.85795379256,342.9904
289.057158558583,6816.50287926515,342.9904
307.043130834947,6821.14928661185,342.9904
325.027180244526,6825.79730101516,342.9904
343.009409485268,6830.44704646749,342.9904
360.989921829962,6835.09864578644,342.9904
371.742402452829,6839.21004002176,75.3555351533108
81.699888010595,6743.94587145237,192.145076402334
95.7597986961177,6747.5716152009,342.9904
113.772251925331,6752.21225533828,342.9904
131.781800609461,6756.85291559836,342.9904
149.788543002629,6761.49373405671,342.9904
167.792577656038,6766.13484749866,342.9904
185.794003442708,6770.77639142745,342.9904
203.792919581939,6775.41850007317,342.9904
221.78942566348,6780.06130640227,342.9904
239.783621671363,6784.70494212773,342.9904
257.775608007367,6789.34953771999,342.9904
275.765485514073,6793.99522241837,342.9904
293.75335549748,6798.64212424327,342.9904
311.739319749143,6803.29037000896,342.9904
329.723480567802,6807.940085337,342.9904
347.705940780464,6812.59139467027,342.9904
365.596771983736,6817.28613427344,340.082308520454
374.184230231699,6824.55367146428,15.2653898981705
87.8438594315679,6727.38061016268,124.020272018533
100.467080331258,6729.68353756304,342.9904
118.478134123612,6734.32752879417,342.9904
136.486398364051,6738.9713987611,342.9904
154.491971650629,6743.61528580471,342.9904
172.494952862438,6748.25932699145,342.9904
190.495441183473,6752.90365812121,342.9904
208.493536126224,6757.54841373587,342.9904
226.489337554995,6762.19372712836,342.9904
244.482945708898,6766.83973035247,342.9904
262.474461224483,6771.48655423316,342.9904
280.463985157997,6776.13432837761,342.9904
298.451619007201,6780.78318118674,342.9904
316.437464732753,6785.4332398675,342.9904
334.421624779081,6790.08463044561,342.9904
352.404202094754,6794.73747777895,342.9904
369.003202083362,6799.37649704301,292.349461683937
80.4883940513947,6695.93115810707,0.00328440877334774
90.7602333472842,6706.01351571061,193.81041150059
105.177385241713,6711.79739557527,342.9904
123.186947502797,6716.44471070408,342.9904
141.193833723956,6721.09176334364,342.9904
159.198142829458,6725.73869207377,342.9904
177.199974009348,6730.38563421494,342.9904
195.199426742467,6735.03272583583,342.9904
213.196600819228,6739.68010176139,342.9904
231.191596364119,6744.32789558164,342.9904
249.184513857887,6748.97623966096,342.9904
267.175454159405,6753.625265148,342.9904
285.164518527143,6758.27510198616,342.9904
303.151808640252,6762.92587892466,342.9904
321.137426619206,6767.57772353019,342.9904
339.121475045978,6772.23076219911,342.9904
357.104056983724,6776.8851201702,342.9904
374.303159264959,6780.61026458793,299.134430874173
393.228888077132,6780.20303072561,118.074958091846
408.318962949879,6781.85328670877,23.4650965791442
62.4473742353626,6681.43496107746,80.1196603642979
74.0380580810239,6683.20394039655,290.214003115501
91.8799227940277,6689.26188101799,342.9904
109.890565144507,6693.91303508285,342.9904
127.898544524533,6698.56364554004,342.9904
145.903959938918,6703.21385243471,342.9904
163.906910621306,6707.86379456024,342.9904
181.907496056595,6712.51360946499,342.9904
199.905816003164,6717.16343345943,342.9904
217.901970514867,6721.813401624,342.9904
235.896059962758,6726.46364781743,342.9904
253.888185056523,6731.11430468563,342.9904
271.878446865585,6735.76550367119,342.9904
289.866946839861,6740.41737502335,342.9904
307.853786830126,6745.07004780857,342.9904
325.83906910797,6749.72364992166,342.9904
343.822896385299,6754.37830809737,342.9904
361.805371833377,6759.03414792259,342.9904
379.786599101352,6763.69129384897,342.9904
397.766682334249,6768.34986920615,342.9904
415.684534908059,6772.88364330804,338.83670420324
433.691293133908,6775.64498439522,267.574091081395
452.016922394154,6777.80881047939,172.846381380409
469.61163743303,6779.88829700609,78.1186716794236
482.822472725741,6781.45094772928,4.99251360117698
67.162786194135,6667.47532013638,37.3535115976688
78.7247835988989,6666.92788404239,335.492276253527
96.597616118188,6671.37574222865,342.9904
114.606474612333,6676.03030283601,342.9904
132.612780508345,6680.68417872981,342.9904
150.616633117417,6685.33751013036,342.9904
168.618131966532,6689.99043602011,342.9904
186.617376820145,6694.64309414999,342.9904
204.614467701642,6699.29562104637,342.9904
222.609504914581,6703.9481520185,342.9904
240.602589063686,6708.60082116649,342.9904
258.593821075553,6713.25376138981,342.9904
276.583302219049,6717.90710439633,342.9904
294.571134125372,6722.56098071188,342.9904
312.557418807737,6727.21551969032,342.9904
330.542258680686,6731.87084952413,342.9904
348.525756578947,6736.52709725547,342.9904
366.508015775863,6741.1843887878,342.9904
384.489140001327,6745.84284889795,342.9904
402.469233459223,6750.50260124863,342.9904
420.448400844321,6755.16376840142,342.9904
438.426747358622,6759.82647183031,342.9904
456.404378727114,6764.49083193545,342.9904
474.381401212909,6769.15696805756,342.9904
486.952257209018,6773.01057850769,140.301023392748
85.4380537910961,6650.14824872716,249.757572187232
101.317984877144,6653.49111066009,342.9904
119.324970999113,6658.14904648789,342.9904
137.329513556382,6662.80615665322,342.9904
155.331712150598,6667.4625815286,342.9904
173.331666586848,6672.11846026182,342.9904
191.329476894595,6676.77393078208,342.9904
209.325243348426,6681.42912980661,342.9904
227.319066488572,6686.08419284775,342.9904
245.311047141204,6690.73925422068,342.9904
263.30128643845,6695.39444705147,342.9904
281.28988583812,6700.0499032857,342.9904
299.276947143104,6704.70575369764,342.9904
317.262572520424,6709.36212789981,342.9904
335.246864519906,6714.0191543531,342.9904
353.229926092451,6718.6769603773,342.9904
371.211860607873,6723.33567216218,342.9904
389.326859524166,6728.09749860215,325.331562985488
407.172764144994,6732.65631219224,342.9904
425.151942154899,6737.3184872724,342.9904
443.130411116351,6741.98206180839,342.9904
461.108276744461,6746.64715652092,342.9904
479.085645269821,6751.31389107608,342.9904
490.017033286845,6755.32655504788,81.4848445728674
92.879521453272,6632.63960248941,151.696552154889
105.175488380007,6636.54117197907,297.595615953893
123.896505917708,6642.41048000994,263.066396032459
142.293161339233,6645.40184605271,326.018725892548
160.049058638312,6649.58891272338,342.9904
178.047376910659,6654.24771213877,342.9904
196.043659577852,6658.90596296791,342.9904
214.038007152557,6663.56380209472,342.9904
232.03052039931,6668.22136520994,342.9904
250.021300354146,6672.87878681841,342.9904
268.01044834395,6677.53620024683,342.9904
285.998066005551,6682.19373765198,342.9904
303.984255304484,6686.85153002945,342.9904
321.969118553443,6691.50970722282,342.9904
339.95275843035,6696.16839793322,342.9904
357.935277996059,6700.82772972945,342.9904
375.916780711642,6705.48782905847,342.9904
394.215888986346,6710.28680885706,229.34140050423
411.877151538469,6714.81083055968,342.9904
429.856228722313,6719.47398011724,342.9904
447.834707232552,6724.13839200232,342.9904
465.812692774628,6728.80418722514,342.9904
483.769504151107,6733.48240215683,342.340873971622
492.662061902341,6739.88601026275,21.9146820516119
95.7598596022227,6621.62303482085,29.234692963761
100.60812266168,6623.71552651698,4.08586768138957
133.169578486076,6621.87190899852,160.526161269596
148.126108906917,6626.17573661442,265.803534170195
164.768536817174,6631.71635079818,342.9904
182.765128000481,6636.37803754118,342.9904
200.75979079794,6641.03903539883,342.9904
218.752625947833,6645.69948139852,342.9904
236.743734427262,6650.35951138548,342.9904
254.733217471131,6655.01926002977,342.9904
272.721176590886,6659.67886083374,342.9904
290.707713592986,6664.33844613981,342.9904
308.692930597078,6668.99814713885,342.9904
326.676930053862,6673.65809387886,342.9904
344.659814762604,6678.31841527419,342.9904
362.641687888297,6682.9792391151,342.9904
380.622652978413,6687.64069207781,342.9904
397.522197024762,6691.19836148028,282.021880054312
417.083034273975,6699.30220971803,227.188618034236
434.561141587673,6701.63007596936,342.9904
452.539518222968,6706.29529027308,342.9904
470.517510853943,6710.96175074719,342.9904
487.422726963436,6715.66572275129,304.035867473597
82.0111181276928,6585.61964601322,102.166906110224
93.1364254449418,6586.39790762083,23.3784422584485
136.183207240986,6604.98452345392,241.279555262382
