"","X","Y","area_km2","geometry"
"759",592.711643242987,6866.67733388662,493.906176,c(592711.643242987, 6866677.33388662)
"760",614.276438401583,6872.30275958284,493.906176,c(614276.438401583, 6872302.75958284)
"761",635.841313053407,6877.93299663781,493.906176,c(635841.313053407, 6877932.99663781)
"762",657.406464206035,6883.56823078434,493.906176,c(657406.464206035, 6883568.23078434)
"763",678.972090447302,6889.2086460001,493.906176,c(678972.090447302, 6889208.6460001)
"764",700.538391958019,6894.8544245603,493.906176,c(700538.391958019, 6894854.4245603)
"765",722.105570521645,6900.50574709045,493.906176,c(722105.570521645, 6900505.74709045)
"766",736.725002620704,6905.28771455816,182.656008354935,c(736725.002620704, 6905287.71455816)
"794.1...223",517.951470453422,6826.22933624031,188.538956071799,c(517951.470453422, 6826229.33624031)
"795...224",533.6630306127,6828.41377610265,493.906176,c(533663.0306127, 6828413.77610265)
"796...225",555.230677188119,6834.02595652001,493.906176,c(555230.677188119, 6834025.95652001)
"797...226",576.798022398387,6839.64215186217,493.906176,c(576798.022398387, 6839642.15186217)
"798...227",598.365258114726,6845.26255438908,493.906176,c(598365.258114725, 6845262.55438908)
"799...228",619.932577658827,6850.88735444592,493.906176,c(619932.577658827, 6850887.35444592)
"800",641.500175824165,6856.5167405112,493.906176,c(641500.175824165, 6856516.74051119)
"801",663.068248894572,6862.15089924528,493.906176,c(663068.248894572, 6862150.89924528)
"802",684.636994660031,6867.79001553961,493.906176,c(684636.994660031, 6867790.01553961)
"803",706.20661242965,6873.43427256606,493.906176,c(706206.61242965, 6873434.27256606)
"804",727.777303041784,6879.08385182661,493.906176,c(727777.303041784, 6879083.85182661)
"805",740.521717406851,6883.88207602557,101.296136356835,c(740521.717406851, 6883882.07602557)
"833.1",526.632322876497,6806.30148006161,49.4183109320632,c(526632.322876497, 6806301.48006161)
"834...236",539.310718249065,6807.00115128267,493.906176,c(539310.718249065, 6807001.15128267)
"835...237",560.880065019826,6812.61333093876,493.906176,c(560880.065019827, 6812613.33093876)
"836...238",582.449308014028,6818.22929601998,493.906176,c(582449.308014028, 6818229.29601998)
"837...239",604.01863862901,6823.84923964423,493.906176,c(604018.63862901, 6823849.23964423)
"838...240",625.588249643323,6829.47335301016,493.906176,c(625588.249643323, 6829473.35301016)
"839...241",647.158335237771,6835.10182544242,493.906176,c(647158.335237771, 6835101.82544242)
"840...242",668.729091013881,6840.7348444373,493.906176,c(668729.091013881, 6840734.8444373)
"841...243",690.300714009791,6846.37259570894,493.906176,c(690300.714009791, 6846372.59570894)
"842...244",711.873402713467,6852.01526323568,493.906176,c(711873.402713467, 6852015.26323568)
"843...245",733.392022680945,6857.69020603185,491.800515720533,c(733392.022680945, 6857690.20603185)
"844...246",743.793693940794,6865.87598553968,24.6491532709284,c(743793.693940794, 6865875.98553968)
"872.1",531.392997886769,6792.74851023372,0.483484165567398,c(531392.997886769, 6792748.51023372)
"873.1",545.198457344404,6785.67883696661,482.566902217158,c(545198.457344404, 6785678.83696661)
"874",566.529479549781,6791.20196434786,493.906176,c(566529.479549781, 6791201.96434786)
"875",588.100397975502,6796.81763850324,493.906176,c(588100.397975502, 6796817.63850324)
"876",609.671598026309,6802.43706121053,493.906176,c(609671.598026309, 6802437.06121053)
"877",631.243271968911,6808.06042443421,493.906176,c(631243.271968911, 6808060.42443421)
"878",652.815613407007,6813.68791825765,493.906176,c(652815.613407007, 6813687.91825765)
"879",674.388817299701,6819.3197309261,493.906176,c(674388.817299701, 6819319.7309261)
"880",695.963079977459,6824.95604889001,493.906176,c(695963.079977459, 6824956.04889001)
"881",717.538599155596,6830.59705684875,493.906176,c(717538.599155596, 6830597.05684875)
"882",737.740013016719,6836.24777598159,433.746207831412,c(737740.013016719, 6836247.77598159)
"911.1",539.748380412017,6756.36803955473,37.869998938468,c(539748.380412017, 6756368.03955473)
"912.1",550.634296763707,6764.16536675243,492.865969041349,c(550634.296763706, 6764165.36675243)
"913...260",572.178730489516,6769.79153799567,493.906176,c(572178.730489516, 6769791.53799567)
"914",593.751106005822,6775.40685817564,493.906176,c(593751.106005822, 6775406.85817564)
"915",615.32395416301,6781.02569562323,493.906176,c(615323.95416301, 6781025.69562323)
"916",636.897466746157,6786.64824298548,493.906176,c(636897.466746157, 6786648.24298548)
"917",658.471836816136,6792.27469102154,493.906176,c(658471.836816136, 6792274.69102154)
"918",680.047258727948,6797.9052286431,493.906176,c(680047.258727948, 6797905.2286431)
"919",701.623928146796,6803.54004295509,493.906176,c(701623.928146796, 6803540.04295509)
"920",723.202042061819,6809.17931929674,493.906176,c(723202.042061819, 6809179.31929674)
"921",741.626197539147,6814.42591955198,352.832036874884,c(741626.197539147, 6814425.91955198)
"950.1...269",542.563527179123,6737.79352540256,142.453070160925,c(542563.527179123, 6737793.52540256)
"951...270",556.254484675912,6742.7699263706,493.906176,c(556254.484675912, 6742769.9263706)
"952...271",577.827632199179,6748.38173770778,493.906176,c(577827.632199179, 6748381.73770778)
"953...272",599.401250372086,6753.99663860711,493.906176,c(599401.250372085, 6753996.63860711)
"954...273",620.975529329249,6759.61482425108,493.906176,c(620975.529329249, 6759614.82425108)
"955...274",642.550660403275,6765.23648789026,493.906176,c(642550.660403275, 6765236.48789026)
"956...275",664.126836145175,6770.86182088088,493.906176,c(664126.836145175, 6770861.82088088)
"957...276",685.704250342676,6776.49101272275,493.906176,c(685704.250342676, 6776491.01272275)
"958...277",707.28309803639,6782.12425109763,493.906176,c(707283.09803639, 6782124.25109763)
"959...278",728.86357553381,6787.76172190772,493.906176,c(728863.57553381, 6787761.72190772)
"960...279",745.529937928673,6792.68202941193,273.306021000116,c(745529.937928673, 6792682.02941193)
"989.1",545.889416045496,6717.13242821413,230.436259637406,c(545889.416045496, 6717132.42821413)
"990",561.902009709568,6721.36069490094,493.906176,c(561902.009709568, 6721360.69490094)
"991",583.476003507941,6726.97225376063,493.906176,c(583476.003507941, 6726972.25376063)
"992",605.050653708297,6732.58666794113,493.906176,c(605050.653708297, 6732586.66794113)
"993",626.62615007446,6738.20413315742,493.906176,c(626626.15007446, 6738204.13315742)
"994",648.202683514643,6743.82484318863,493.906176,c(648202.683514643, 6743824.84318863)
"995...286",669.780446101711,6749.4489899133,493.906176,c(669780.446101711, 6749448.9899133)
"996...287",691.359631091464,6755.07676334513,493.906176,c(691359.631091464, 6755076.76334513)
"997...288",712.940432938914,6760.70835166893,493.906176,c(712940.432938914, 6760708.35166893)
"998...289",734.523047312541,6766.34394127694,493.906176,c(734523.047312541, 6766343.94127695)
"999...290",749.327299410658,6771.05733947157,190.070400416326,c(749327.299410658, 6771057.33947157)
"1028",553.634982242899,6707.6906331937,0.119310302404374,c(553634.982242899, 6707690.6331937)
"1029",568.479969251668,6709.73755205936,63.9946206439787,c(568479.969251668, 6709737.55205936)
"1030",588.491483963841,6712.5709841221,178.263727274387,c(588491.483963841, 6712570.9841221)
"1031",610.263911316459,6715.66906653869,291.364062442446,c(610263.911316459, 6715669.06653869)
"1032",632.291415383184,6718.78468345067,405.43615857412,c(632291.415383184, 6718784.68345067)
"1033",653.909866618509,6722.53267080894,489.223237086865,c(653909.866618509, 6722532.67080894)
"1034",675.432505259879,6728.03588498085,493.906176,c(675432.50525988, 6728035.88498085)
"1035",697.01324366787,6733.66216558365,493.906176,c(697013.243667871, 6733662.16558365)
"1036",718.595779767329,6739.29202802017,493.906176,c(718595.779767329, 6739292.02802017)
"1037",740.180308628516,6744.92565910343,493.906176,c(740180.308628516, 6744925.65910343)
"1038",753.043125456788,6749.77921796979,106.181111587917,c(753043.125456788, 6749779.21796979)
"1072...302",662.729593448592,6712.19871361031,24.4340968514354,c(662729.593448592, 6712198.71361031)
"1073...303",680.49210701796,6714.95271701503,120.669777774885,c(680492.10701796, 6714952.71701503)
"1074...304",701.947931174112,6718.28162240457,221.569915875645,c(701947.931174112, 6718281.62240457)
"1075...305",723.845903212918,6721.68175574221,322.470053976407,c(723845.903212918, 6721681.75574221)
"1076...306",745.809569257526,6725.14484052447,421.207838790146,c(745809.569257526, 6725144.84052447)
"1077...307",756.213298844141,6731.71379340792,25.2035827903986,c(756213.298844142, 6731713.79340792)
"99",571.268884853564,7241.29673280394,26.2259537173376,c(571268.884853564, 7241296.73280394)
"100",585.736271077424,7250.11436672369,271.351786504828,c(585736.271077424, 7250114.36672369)
"101",604.220379342601,7257.29335687972,394.43413509077,c(604220.379342601, 7257293.35687972)
"102",626.079482731308,7260.49616918955,282.50196744915,c(626079.482731308, 7260496.16918955)
"103",643.888279921818,7262.46680539228,100.04956587758,c(643888.279921818, 7262466.80539228)
"136",536.610863585919,7207.74622244057,1.49456191055685,c(536610.863585919, 7207746.22244057)
"137",549.927039405098,7215.84150046316,176.776971641868,c(549927.039405098, 7215841.50046316)
"138",567.820066364832,7225.99402702128,444.791513356011,c(567820.066364832, 7225994.02702128)
"139",588.328971038661,7232.37112964296,493.906176,c(588328.971038661, 7232371.12964296)
