"","X","Y","area_km2"
"1",-1172604.99965133,1532689.54720066,9.87812352
"2",-1150380.99965133,1532689.54720066,222.2577792
"3",-1128156.99965133,1532689.54720066,449.45462016
"4",-1105932.99965133,1532689.54720066,335.85619968
"5",-1083708.99965133,1532689.54720066,182.74528512
"6",-1061484.99965133,1532689.54720066,34.57343232
"7",-1217052.99965133,1510465.54720066,4.93906176
"8",-1194828.99965133,1510465.54720066,192.62340864
"9",-1172604.99965133,1510465.54720066,434.63743488
"10",-1150380.99965133,1510465.54720066,493.906176
"11",-1128156.99965133,1510465.54720066,493.906176
"12",-1105932.99965133,1510465.54720066,493.906176
"13",-1083708.99965133,1510465.54720066,493.906176
"14",-1061484.99965133,1510465.54720066,484.02805248
"15",-1039260.99965133,1510465.54720066,360.55150848
"16",-1017036.99965133,1510465.54720066,207.44059392
"17",-994812.999651326,1510465.54720066,29.63437056
"18",-1239276.99965133,1488241.54720066,162.98903808
"19",-1217052.99965133,1488241.54720066,414.88118784
"20",-1194828.99965133,1488241.54720066,493.906176
"21",-1172604.99965133,1488241.54720066,493.906176
"22",-1150380.99965133,1488241.54720066,493.906176
"23",-1128156.99965133,1488241.54720066,493.906176
"24",-1105932.99965133,1488241.54720066,493.906176
"25",-1083708.99965133,1488241.54720066,493.906176
"26",-1061484.99965133,1488241.54720066,493.906176
"27",-1039260.99965133,1488241.54720066,493.906176
"28",-1017036.99965133,1488241.54720066,493.906176
"29",-994812.999651326,1488241.54720066,108.65935872
"30",-1283724.99965133,1466017.54720066,133.35466752
"31",-1261500.99965133,1466017.54720066,395.1249408
"32",-1239276.99965133,1466017.54720066,493.906176
"33",-1217052.99965133,1466017.54720066,493.906176
"34",-1194828.99965133,1466017.54720066,493.906176
"35",-1172604.99965133,1466017.54720066,493.906176
"36",-1150380.99965133,1466017.54720066,493.906176
"37",-1128156.99965133,1466017.54720066,493.906176
"38",-1105932.99965133,1466017.54720066,493.906176
"39",-1083708.99965133,1466017.54720066,493.906176
"40",-1061484.99965133,1466017.54720066,493.906176
"41",-1039260.99965133,1466017.54720066,493.906176
"42",-1017036.99965133,1466017.54720066,493.906176
"43",-994812.999651326,1466017.54720066,19.75624704
"44",-1328172.99965133,1443793.54720066,24.6953088
"45",-1305948.99965133,1443793.54720066,370.429632
"46",-1283724.99965133,1443793.54720066,493.906176
"47",-1261500.99965133,1443793.54720066,493.906176
"48",-1239276.99965133,1443793.54720066,493.906176
"49",-1217052.99965133,1443793.54720066,493.906176
"50",-1194828.99965133,1443793.54720066,493.906176
"51",-1172604.99965133,1443793.54720066,493.906176
"52",-1150380.99965133,1443793.54720066,493.906176
"53",-1128156.99965133,1443793.54720066,493.906176
"54",-1105932.99965133,1443793.54720066,493.906176
"55",-1083708.99965133,1443793.54720066,493.906176
