OBJECTID,Id,gridcode,ShapeLongitude,ShapeLatitude,Shape_Length,Shape_Area,Longitude,Latitude
10809,712625,23726168,-149.849531,57.9800181,14816,13719616,-149.84953,57.9800181
10810,712626,23790762,-149.7868662,57.9779317,14816,13719616,-149.78687,57.9779317
10811,712627,18503738,-149.724209,57.975814,14816,13719616,-149.72421,57.975814
10812,712628,71185968,-149.6615593,57.973665,14816,13719616,-149.66156,57.973665
10813,712629,42787732,-149.5989174,57.9714849,14816,13719616,-149.59892,57.9714849
10814,712630,47779344,-149.5362833,57.9692736,14816,13719616,-149.53628,57.9692736
10815,712631,26217028,-149.4736572,57.967031,14816,13719616,-149.47366,57.967031
10816,712632,46773172,-149.4110392,57.9647573,14816,13719616,-149.41104,57.9647573
10817,712633,25581982,-149.3484293,57.9624523,14816,13719616,-149.34843,57.9624523
10818,712634,90061840,-149.2858277,57.9601162,14816,13719616,-149.28583,57.9601162
10819,712635,53161768,-149.2232345,57.9577489,14816,13719616,-149.22323,57.9577489
10820,712636,71994976,-149.1606498,57.9553505,14816,13719616,-149.16065,57.9553505
10821,712637,79676088,-149.0980737,57.9529208,14816,13719616,-149.09807,57.9529208
10822,712638,60876184,-149.0355063,57.95046,14816,13719616,-149.03551,57.95046
10823,712639,76591816,-148.9729477,57.9479681,14816,13719616,-148.97295,57.9479681
10824,712640,9516417,-148.9103981,57.945445,14816,13719616,-148.91040,57.945445
10825,712641,47929512,-148.8478575,57.9428907,14816,13719616,-148.84786,57.9428907
10831,712852,10234672,-136.0137952,56.7231219,14217.8915,12709449.84,-136.01558,56.7239651
10832,712853,78141208,-135.9571854,56.7150704,14816,13719616,-135.95719,56.7150704
10833,712854,13968505,-135.8988164,56.7061475,14816,13719616,-135.89882,56.7061475
10834,712855,78881064,-135.8404762,56.6971965,14816,13719616,-135.84048,56.6971965
10835,712856,43247848,-135.7821647,56.6882173,14816,13719616,-135.78216,56.6882173
10836,712857,66697692,-135.7238819,56.6792099,14816,13719616,-135.72388,56.6792099
10837,712858,21255362,-135.6656281,56.6701744,14816,13719616,-135.66563,56.6701744
10838,712859,70985000,-135.6074032,56.6611108,14816,13719616,-135.60740,56.6611108
10839,712860,90267272,-135.5492073,56.6520192,14816,13719616,-135.54921,56.6520192
10840,712861,56905692,-135.4910404,56.6428994,14816,13719616,-135.49104,56.6428994
10841,712862,78382984,-135.4329027,56.6337516,14816,13719616,-135.43290,56.6337516
10842,712863,12984072,-135.3747943,56.6245758,14816,13719616,-135.37479,56.6245758
10843,712864,16122858,-135.3167151,56.615372,14816,13719616,-135.31672,56.615372
10844,712865,22972356,-135.2586652,56.6061402,14816,13719616,-135.25867,56.6061402
10845,712866,94046368,-135.2006448,56.5968804,14816,13719616,-135.20064,56.5968804
10846,712867,66241596,-135.1449527,56.5832614,20672.0561,12721322.11,-135.14265,56.5875927
10847,712868,83560464,-135.0846685,56.5782094,15468.0555,13643057.42,-135.08469,56.5782771
10862,713886,69991072,-155.0176684,58.008619,21537.5009,8757821.661,-155.00203,58.0113363
10863,713887,86982592,-154.9233541,58.0070739,23164.3529,11534960.38,-154.93919,58.0118209
10864,713888,73444256,-154.8777854,58.0101984,13703.1955,11875662.08,-154.87635,58.0122741
10867,713891,33050804,-154.6878133,58.0134454,14816,13719616,-154.68781,58.0134454
10868,713892,69183032,-154.6259432,58.0129416,15103.5473,12989139.95,-154.62497,58.0137731
10869,713893,39460088,-154.5601749,58.0127047,16487.235,12332172.47,-154.56212,58.0140694
10870,713894,69499704,-154.4992607,58.0143311,16770.1118,13668464.09,-154.49927,58.0143344
10871,713895,4037455,-154.4364142,58.014568,14816,13719616,-154.43641,58.014568
10872,713896,85276832,-154.3735622,58.0147701,14816,13719616,-154.37356,58.0147701
10873,713897,44555492,-154.3107095,58.014941,14816,13719616,-154.31071,58.014941
10874,713898,6405116,-154.2478562,58.0150804,14816,13719616,-154.24786,58.0150804
10875,713899,21536674,-154.1850026,58.0151884,14816,13719616,-154.18500,58.0151884
10876,713900,33796040,-154.1221485,58.0152651,14816,13719616,-154.12215,58.0152651
10877,713901,91981752,-154.0592943,58.0153104,14816,13719616,-154.05929,58.0153104
10878,713902,79850896,-153.99644,58.0153243,14816,13719616,-153.99644,58.0153243
10879,713903,90143920,-153.9335856,58.0153069,14816,13719616,-153.93359,58.0153069
10880,713904,56449400,-153.8707314,58.015258,14816,13719616,-153.87073,58.015258
10881,713905,37201828,-153.8078774,58.0151778,14816,13719616,-153.80788,58.0151778
10882,713906,63937376,-153.7450238,58.0150662,14816,13719616,-153.74502,58.0150662
10883,713907,81376984,-153.6821706,58.0149232,14816,13719616,-153.68217,58.0149232
10884,713908,27345854,-153.619318,58.0147488,14816,13719616,-153.61932,58.0147488
10885,713909,40465860,-153.556466,58.0145431,14816,13719616,-153.55647,58.0145431
10886,713910,84521592,-153.4936149,58.0143059,14816,13719616,-153.49361,58.0143059
10887,713911,15981150,-153.4307647,58.0140374,14816,13719616,-153.43076,58.0140374
10888,713912,87602432,-153.3679154,58.0137376,14816,13719616,-153.36792,58.0137376
10889,713913,68235400,-153.3055708,58.0137455,15047.5858,13421677.45,-153.30507,58.0134063
10890,713914,80989256,-153.2420399,58.0131578,14736.1779,13621063.33,-153.24222,58.0130437
10891,713915,81418832,-153.1805976,58.0112698,14569.0342,12512777.56,-153.17938,58.0126497
10895,713919,55674380,-152.9332406,58.0114497,18803.1781,5019451.825,-152.92801,58.0107599
10898,713922,82719704,-152.7373235,58.0083523,14976.8181,12685227.85,-152.73950,58.0090132
10899,713923,63094812,-152.6766736,58.0083683,17506.2756,13603950.68,-152.67667,58.0083683
10900,713924,88948568,-152.6138454,58.007692,14816,13719616,-152.61385,58.007692
10901,713925,55198716,-152.5510196,58.0069843,14816,13719616,-152.55102,58.0069843
10902,713926,60708480,-152.4883354,58.0063686,15947.3468,13607797.74,-152.48820,58.0062452
10903,713927,50576620,-152.4253761,58.0054748,14816,13719616,-152.42538,58.0054748
10904,713928,65735268,-152.3625585,58.0046731,14816,13719616,-152.36256,58.0046731
10905,713929,78248360,-152.2997438,58.00384,14816,13719616,-152.29974,58.00384
10906,713930,78461872,-152.2369322,58.0029755,14816,13719616,-152.23693,58.0029755
10907,713931,82145352,-152.1741237,58.0020797,14816,13719616,-152.17412,58.0020797
10908,713932,17836316,-152.1113185,58.0011526,14816,13719616,-152.11132,58.0011526
10909,713933,61207784,-152.0485167,58.0001941,14816,13719616,-152.04852,58.0001941
10910,713934,72420352,-151.9857183,57.9992043,14816,13719616,-151.98572,57.9992043
10911,713935,2539217,-151.9229236,57.9981831,14816,13719616,-151.92292,57.9981831
10912,713936,77403208,-151.8601326,57.9971306,14816,13719616,-151.86013,57.9971306
10913,713937,27938896,-151.7973454,57.9960467,14816,13719616,-151.79735,57.9960467
10914,713938,19123952,-151.7345621,57.9949316,14816,13719616,-151.73456,57.9949316
10915,713939,26917046,-151.6717829,57.9937851,14816,13719616,-151.67178,57.9937851
10916,713940,33532402,-151.6090079,57.9926073,14816,13719616,-151.60901,57.9926073
10917,713941,86751464,-151.5462371,57.9913981,14816,13719616,-151.54624,57.9913981
10918,713942,28814008,-151.4834707,57.9901577,14816,13719616,-151.48347,57.9901576
10919,713943,34610604,-151.4207088,57.9888859,14816,13719616,-151.42071,57.9888859
10920,713944,87668168,-151.3579516,57.9875828,14816,13719616,-151.35795,57.9875828
10921,713945,93693432,-151.295199,57.9862484,14816,13719616,-151.29520,57.9862484
10922,713946,23751838,-151.2324513,57.9848827,14816,13719616,-151.23245,57.9848827
10923,713947,72882384,-151.1697085,57.9834857,14816,13719616,-151.16971,57.9834857
10924,713948,15183788,-151.1069708,57.9820574,14816,13719616,-151.10697,57.9820574
10925,713949,14675964,-151.0442382,57.9805978,14816,13719616,-151.04424,57.9805978
10926,713950,92818160,-150.981511,57.9791069,14816,13719616,-150.98151,57.9791069
10927,713951,43256644,-150.9187891,57.9775848,14816,13719616,-150.91879,57.9775847
10928,713952,92292072,-150.8560727,57.9760313,14816,13719616,-150.85607,57.9760313
10929,713953,80194248,-150.7933619,57.9744466,14816,13719616,-150.79336,57.9744466
10930,713954,23436526,-150.7306568,57.9728306,14816,13719616,-150.73066,57.9728306
10931,713955,41051600,-150.6679576,57.9711833,14816,13719616,-150.66796,57.9711833
10932,713956,53762764,-150.6052643,57.9695048,14816,13719616,-150.60526,57.9695048
10933,713957,21883752,-150.5425771,57.967795,14816,13719616,-150.54258,57.967795
10934,713958,28287238,-150.4798961,57.9660539,14816,13719616,-150.47990,57.9660539
10935,713959,74628640,-150.4172213,57.9642816,14816,13719616,-150.41722,57.9642816
10936,713960,98839408,-150.3545529,57.962478,14816,13719616,-150.35455,57.962478
10937,713961,66501944,-150.291891,57.9606432,14816,13719616,-150.29189,57.9606432
10938,713962,76638928,-150.2292357,57.9587772,14816,13719616,-150.22924,57.9587772
10939,713963,77552888,-150.1665872,57.9568799,14816,13719616,-150.16659,57.9568799
10940,713964,60519260,-150.1039454,57.9549514,14816,13719616,-150.10395,57.9549514
10941,713965,58815180,-150.0413106,57.9529917,14816,13719616,-150.04131,57.9529917
10942,713966,98276856,-149.9786829,57.9510008,14816,13719616,-149.97868,57.9510008
10943,713967,118661,-149.9160623,57.9489786,14816,13719616,-149.91606,57.9489786
10944,713968,41832848,-149.853449,57.9469253,14816,13719616,-149.85345,57.9469253
10945,713969,41837208,-149.790843,57.9448407,14816,13719616,-149.79084,57.9448407
10946,713970,42340476,-149.7282446,57.9427249,14816,13719616,-149.72824,57.9427249
10947,713971,2192460,-149.6656538,57.940578,14816,13719616,-149.66565,57.940578
10948,713972,6884023,-149.6030706,57.9383998,14816,13719616,-149.60307,57.9383998
10949,713973,61456556,-149.5404953,57.9361905,14816,13719616,-149.54050,57.9361905
