"Estimate","Std. Error","Year"
"12.8006828369781","0.0770402436632259","1982"
"12.426822479247","0.106375964223982","1983"
"12.5580636861242","0.0869610678403434","1984"
"12.6417007048334","0.0722557328782925","1985"
"12.4685629463955","0.0802960115003134","1986"
"12.8235001012492","0.0676116061815009","1987"
"12.6101759650354","0.0582835264293661","1988"
"12.3224822696735","0.199601559841172","1989"
"12.4239247771716","0.133904603951365","1990"
"12.2391617259404","0.137368173264388","1991"
"12.0082114243509","0.172056190325466","1992"
"12.0845017724807","0.1418465149445","1993"
"12.2297334059412","0.068502799043312","1994"
"12.2521942155531","0.06730450812869","1995"
"12.3358944383226","0.13843293266494","1996"
"12.4277062564401","0.133548820533884","1997"
"11.8421052925321","0.315946707900377","1998"
"12.1054501295458","0.0939802526056817","1999"
"12.1640435914825","0.212974861596166","2000"
"12.1100364680325","0.174523743394021","2001"
"11.7521614241977","0.305063670763783","2002"
"11.6167506221883","0.370708688180644","2003"
"11.4832977128205","0.344766405649132","2004"
"11.8096466286001","0.287435079674989","2005"
"12.4333777060454","0.0597672444140204","2006"
"12.0883559259219","0.121398560138229","2007"
"12.2230525410069","0.0914655564347456","2008"
"12.4756231116725","0.0731129450189587","2009"
"11.8869462707937","0.140338802564555","2010"
"12.4409774681053","0.0722329226702803","2011"
"11.9852171013555","0.118522537128084","2012"
"11.9731002619431","0.238608303688854","2013"
"12.1045990059968","0.136480567547268","2014"
"12.2900258273675","0.106047774088848","2015"
"12.4564826775908","0.198907805781359","2016"
"12.5894851381001","0.113991834816635","2017"
"12.3274142088724","0.169901485610822","2018"
"12.3000104009731","0.136458954272628","2019"
"12.3171366468215","0.250257869117551","2021"
"12.648770528812","0.0595739403652934","1982"
"12.2215012730536","0.0855659033182001","1983"
"12.4461744138954","0.0752704686564414","1984"
"12.5010737105475","0.0648182281036696","1985"
"12.3836544725567","0.0722896664380391","1986"
"12.643194620978","0.0460077946549719","1987"
"12.5086559436572","0.0546610267928093","1988"
"12.1982283230176","0.193629574722074","1989"
"12.3225137079552","0.127954312334027","1990"
"12.1301315152776","0.133767940471948","1991"
"11.9474449991594","0.168577649704497","1992"
"11.9705003839245","0.133961573695163","1993"
"12.1886546682269","0.064651237670338","1994"
"12.2097320311702","0.0628300279869004","1995"
"12.2062412353573","0.124411673609356","1996"
"12.3149476621493","0.123197076113299","1997"
"11.6820635340858","0.305745213367513","1998"
"12.0782135917475","0.0918875725398551","1999"
"12.0958996104661","0.209304296213451","2000"
"12.0577045801272","0.171494211007335","2001"
"11.6330267268156","0.297286861475904","2002"
"11.4532441053161","0.358750814712285","2003"
"11.3703831663395","0.336822610189168","2004"
"11.6880919786421","0.281437106775836","2005"
"12.3878127549546","0.055269547098677","2006"
"12.0195006827223","0.116815283193014","2007"
"12.1814503787816","0.0884396748170638","2008"
"12.4126378643903","0.0688020881629148","2009"
"11.8615732977523","0.139908925866441","2010"
"12.3501834720594","0.0633720769858086","2011"
"11.9469266960641","0.116023198856822","2012"
"11.8773482394488","0.233899178497462","2013"
"11.9119879530662","0.113261263646355","2014"
"12.0876205713906","0.076450508600059","2015"
"12.0871134922303","0.198178086337663","2016"
"12.244978396845","0.147580887610296","2017"
"11.8216569721836","0.299268278413647","2018"
"11.8358703164587","0.157324447573828","2019"
"12.0132231597827","0.276976513977842","2021"
"11.580150230669","0.273114798192882","1982"
"11.3459772245708","0.379776926427902","1983"
"11.6088077578299","0.241688497043477","1984"
"11.3506587468878","0.274958001358425","1985"
"11.5631765489332","0.271730736942765","1986"
"11.4557039404916","0.270204458774926","1987"
"11.2414330238789","0.245849687373906","1988"
"11.5987222452466","0.2216445785935","1989"
"11.6416800524976","0.197326546302628","1990"
"11.3892793750274","0.275321217375113","1991"
"11.6334819377403","0.22358298377382","1992"
"11.3326324690944","0.382191936908201","1993"
"11.6838291267315","0.130984614528722","1994"
"11.6789353164861","0.135495563782491","1995"
"11.6850792738281","0.197360030378276","1996"
"11.5888854443576","0.238944546096062","1997"
"11.5335748422177","0.318686915849674","1998"
"11.5810384021979","0.362126239339033","1999"
"11.5791002689576","0.247399133005713","2000"
"11.6862863579286","0.1866131641197","2001"
"11.6436895076441","0.226354242328007","2002"
"11.7039270570499","0.178764204552161","2003"
"11.539971114162","0.274081050752408","2004"
"11.3064581090097","0.401588829709883","2005"
"11.6691662113133","0.171964865319316","2006"
"11.6344591476329","0.233384602566477","2007"
"11.5032679285576","0.29736809177639","2008"
"11.3079107953781","0.334143370230907","2009"
"11.3739762646127","0.152438808453421","2010"
"11.6961270668595","0.15246007104575","2011"
"11.5555864828039","0.21271158460042","2012"
"11.4854544563327","0.266600967214099","2013"
"11.4945980836327","0.245765864438987","2014"
"11.5146715183327","0.171842983082783","2015"
"11.6000638337642","0.149836544869633","2016"
"11.3633434126603","0.102059644139011","2017"
"11.4135213052656","0.122610864673169","2018"
"11.4519193399631","0.120245062317951","2019"
"11.1654684960572","0.137456346899545","2021"
